Date,NO2,O3,PM2.5,PM10,Date_raw,PM2.5_%ER,PM10_%ER,NO2_%ER,O3_%ER,PMmax_%ER,PMmax_source,LP_PM2.5,LP_PM10,LP_NO2,LP_O3,LP_PMmax,LP_total,Total_%ER,AQHI_Band
2000-04-04,38,26,11.1,28.6,4/04/2000,0.7229910509126913,1.1766082122883548,2.765961665508554,1.1216437785749545,1.1766082122883548,PM10,0.007203899999999999,0.011697400000000002,0.027284,0.011154,0.011697400000000002,0.0501354,5.14134481194688,Low
2000-05-04,28,39,9.1,21.5,5/04/2000,0.5923374210781818,0.8832276397871874,2.0307446483558644,1.6871747031061979,0.8832276397871874,PM10,0.0059058999999999995,0.008793500000000001,0.020104,0.016731,0.008793500000000001,0.0456285,4.6685495058867765,Low
2000-06-04,21,41,5.9,18.3,6/04/2000,0.38364403694175486,0.7512780381069284,1.5192246522813146,1.7744597389271588,0.7512780381069284,PM10,0.0038290999999999998,0.0074847,0.015078,0.017589,0.0074847,0.0401517,4.096867716347075,Low
2000-07-04,30,33,7.1,20.1,7/04/2000,0.46185326963992246,0.8254784388147529,2.177366046639251,1.4257684895456313,0.8254784388147529,PM10,0.004607899999999999,0.008220900000000001,0.02154,0.014157000000000001,0.008220900000000001,0.0439179,4.489656535881581,Low
2000-08-04,26,39,6.9,16.2,8/04/2000,0.4488141673415713,0.6647799173354896,1.8843336472990524,1.6871747031061979,0.6647799173354896,PM10,0.0044781,0.0066258,0.018668,0.016731,0.0066258,0.0420248,4.292034285454971,Low
2000-09-04,28,59,5.7,15.3,9/04/2000,0.3706150855429913,0.6277320309297396,2.0307446483558644,2.5634043116804506,0.6277320309297396,PM10,0.0036993,0.006257700000000001,0.020104,0.025311,0.006257700000000001,0.0516727,5.303102904827606,Low
2000-10-04,43,75,13.7,25.4,10/04/2000,0.893094501932068,1.0442748852794281,3.135554490062109,3.2698211679893507,1.0442748852794281,PM10,0.0088913,0.0103886,0.030874,0.032175,0.0103886,0.07343759999999999,7.620137961052564,Low
2000-11-04,38,71,12.9,27.5,11/04/2000,0.8407244037206052,1.131099094297383,2.765961665508554,3.0927621149807294,1.131099094297383,PM10,0.0083721,0.0112475,0.027284,0.030459,0.0112475,0.0689905,7.142603055270769,Low
2000-12-04,45,51,12.7,27.0,12/04/2000,0.8276361271405186,1.1104198990523617,3.2837635349356242,2.212010045555113,1.1104198990523617,PM10,0.0082423,0.011043,0.03231,0.021879000000000003,0.011043,0.06523200000000001,6.740663399945457,Low
2000-04-13,34,53,11.2,28.2,13/04/2000,0.7295281851596114,1.1600570731049364,2.471241244710054,2.299745583337587,1.1600570731049364,PM10,0.007268799999999999,0.0115338,0.024412,0.022737,0.0115338,0.0586828,6.043881619355007,Low
2000-04-14,30,47,11.3,22.4,14/04/2000,0.7360657436803031,0.9203695914382193,2.177366046639251,2.036764639878119,0.9203695914382193,PM10,0.007333699999999999,0.0091616,0.02154,0.020163,0.0091616,0.0508646,5.218041840922005,Low
2000-04-15,30,61,7.0,16.0,15/04/2000,0.45533350693129915,0.6565458751151665,2.177366046639251,2.6514414751221738,0.6565458751151665,PM10,0.004542999999999999,0.006544,0.02154,0.026169,0.006544,0.054253,5.575167354253119,Low
2000-04-16,32,47,10.4,20.3,16/04/2000,0.6772429885374409,0.8337263002839768,2.3241981444966697,2.036764639878119,0.8337263002839768,PM10,0.0067496,0.008302700000000001,0.022976,0.020163,0.008302700000000001,0.0514417,5.278780697379704,Low
