Date,NO2,O3,PM2.5,PM10
12/12/2001,15,51,8.7,23.8
13/12/2001,19,79,9.2,27.9
14/12/2001,36,67,11.2,29.3
15/12/2001,32,39,9.5,24.3
16/12/2001,11,65,5,14
17/12/2001,17,59,7.2,18.6
18/12/2001,24,71,7.6,22.7
19/12/2001,28,84,11.1,22.5
20/12/2001,32,137,22.6,40
21/12/2001,24,94,21.8,44.8
22/12/2001,9,82,8.8,20.9
23/12/2001,13,77,8.6,26.7
24/12/2001,17,102,24.6,43.8
25/12/2001,21,69,47.2,86.2
26/12/2001,13,92,79,89.7
27/12/2001,28,130,139.7,145.6
28/12/2001,43,137,181,183
29/12/2001,34,155,187.5,227.2
30/12/2001,43,204,482.4,450.5
31/12/2001,26,132,173.2,222.9
1/01/2002,36,110,144.7,161.1
2/01/2002,38,77,112.3,128.7
3/01/2002,19,100,43.6,65.4
4/01/2002,32,157,123,159.6
5/01/2002,28,102,75.6,88
6/01/2002,13,88,20,55.9
7/01/2002,23,84,24.9,33.7
8/01/2002,17,77,29.3,78.7
9/01/2002,21,71,22.1,40.9
10/01/2002,15,94,24.9,39.8
11/01/2002,21,88,51.4,49.5
12/01/2002,26,57,15.5,56
13/01/2002,17,75,19.2,41.7
14/01/2002,21,55,8.8,22.5
15/01/2002,17,39,6.9,15.4
16/01/2002,17,29,5,12.4
